aX_rms,aX_std_dev,aX_max,aX_min,aY_rms,aY_std_dev,aY_max,aY_min,aZ_rms,aZ_std_dev,aZ_max,aZ_min,gX_rms,gX_std_dev,gX_max,gX_min,gY_rms,gY_std_dev,gY_max,gY_min,gZ_rms,gZ_std_dev,gZ_max,gZ_min
0.0035986790213107,0.0022115883035794,0.0,-0.0065900204788479,0.0036133978190289,0.0020048471356072,0.0059707972726386,0.0,0.0019867127840558,0.0010508865073124,0.0030931776682059,0.0,0.1707315082688809,0.132215663017777,0.0823931283715042,-0.2947742793514223,0.1554038045219901,0.0981472596096482,0.2856895719840417,0.0,0.0206328175428849,0.0153048917937457,0.0045555253884179,-0.0368365880891746
0.0143581574645808,0.0030860091544407,-0.0093251102344137,-0.018170292740597,0.0075198260705827,0.0005433798872854,0.0083410555959768,0.0067367056921818,0.0037472209513701,0.0008309743310671,0.0049449125568012,0.0026091369566517,0.2087335396521052,0.1974311073501759,0.3064071973808905,-0.3422169847465902,0.3454477587070543,0.0226480290050295,0.3730917315384663,0.312171885334616,0.2409044542819366,0.1207418287244851,-0.0472429218358979,-0.3633086456860935
0.018541347518987,0.0003930770913173,-0.017743446249146,-0.0189218165046691,0.0096311919558183,0.0007180482049059,0.0109139204075295,0.0087454612258635,0.0055459109620766,0.0001515024944022,0.0057165282787272,0.0053313199957994,0.5580279842129866,0.2297110611629544,0.7900851547788277,0.1846682746027057,0.2212414931167836,0.1227754376096971,0.3318488264029172,0.0093260332580055,0.1490397173919389,0.1312238555022955,0.0544522853918452,-0.3018772845060626
0.0159009888462149,0.0005671342193227,-0.0152927071581063,-0.0168891863596613,0.0128283840981446,0.0009702601194022,0.0140567210840567,0.0113011261924146,0.0050562255253823,0.0015833674199814,0.0063407029109776,0.0022652133282422,0.4241253123022961,0.2721149262554492,0.6745296631743692,0.0095968172302647,0.0669764629857025,0.0446935810203567,0.0222661522736642,-0.1123814360172936,0.0393403645699517,0.0260856762194792,0.0084786238355213,-0.0621572016142613
0.018644129317379,0.0011865804268188,-0.0166054415093288,-0.0199022159805214,0.0133526983547246,0.000338114857671,0.0137900850045027,0.0128770764109868,0.0026428584339958,0.0002826170622251,0.003050812375401,0.0022278702861216,0.5185119505104738,0.3027906073558861,0.0754305630061812,-0.8425059576060874,0.0675408571395842,0.0593995055890101,0.0670923966840428,-0.1023831978279018,0.0763329864473433,0.047466982333406,0.0171409463903343,-0.114871628041508
0.0182717526166665,0.001130077336643,-0.016401445262529,-0.019787751847614,0.010866557347581,0.0010739667932474,0.0119750182299218,0.0091310177755405,0.0017793357820958,0.0002927738719917,0.0021741189723643,0.0013820521877422,1.2881145042061108,0.314279642475355,-0.8181371436408748,-1.6140715986133436,0.1446333373046153,0.0557716687674709,-0.0404233372667139,-0.193745135157921,0.0888467838868275,0.0357830348897936,0.1160823117259802,0.0071423898278176
0.0157187310054982,0.0002706333022105,-0.0154269674988113,-0.0162018352429429,0.006013683813321,0.0019429754653917,0.0087107991847495,0.0028289813010529,0.0017954490606297,0.0003270372061248,0.0023039361617203,0.0013908161368643,1.4717067186633177,0.0607975114841936,-1.385012655444642,-1.5551174657332667,0.436845256154037,0.2310679008887584,0.7142172065933169,0.0471072932744461,0.0827393235811972,0.025078796257759,0.1257462962895334,0.0555239520045162
0.0177929226537258,0.0006367121934678,-0.0166515169617276,-0.0184815383363078,0.0011605941945165,0.0009224229799444,0.001757766289605,-0.0006692848407982,0.0015226632404019,0.0004606174954641,0.002134795946382,0.0008542259941745,1.215890250538665,0.077981000250902,-1.1216649240630572,-1.3168180543438643,0.5998398325453962,0.0781506995238536,0.690149655595612,0.4533854301511518,0.0534967947893405,0.0211897174364925,0.0857526817877669,0.0295266052569572
0.0170552784815389,0.0007826430099627,-0.0155678791773057,-0.0178282059753275,0.003672741680495,0.0010818669454284,-0.0019018374143119,-0.0052447406501736,0.0009511948305649,0.0002801411735892,0.0013009750710963,0.0004904845043122,1.0791928511331346,0.0634768088910521,-1.0251103059262476,-1.2055817456031903,0.2639181870143577,0.2460020894842074,0.3925196817252005,-0.3182232585613019,0.0214229204581045,0.0094830315238614,0.0276042961640847,0.0008277487822865
0.0147263972308773,0.000297413266314,-0.0141331636809931,-0.0150002412222363,0.0063041047912771,0.0005128451306226,-0.0055827891806493,-0.0070194206851421,0.000587033002911,0.000456196729869,0.0001250120553099,-0.0010735458242425,0.6080869895009882,0.1515207964160247,-0.3576263963328962,-0.8518454241392579,0.5963679510446298,0.1285002926516271,-0.4342433148043699,-0.8132445598059057,0.0153161517833771,0.0051746916805177,0.0214451831531239,0.0061593469722393
